tags: ἕρμαιον ἕρμαιον-3 déclinaison

 ὁ ἄνθρωπος|l'homme|ὁ|ἄνθρωπος|ἄνθρωπε|τὸν|ἄνθρωπον|τοῦ|ἀνθρώπου|τῷ|ἀνθρώπῳ|οἱ|ἄνθρωποι|ἄνθρωποι|τοὺς|ἀνθρώπους|τῶν|ἀνθρώπων|τοῖς|ἀνθρώποις

 ἀθηναῖος|athénien||ἀθηναῖος|ἀθηναῖε||ἀθηναῖον||ἀθηναίου||ἀθηναίῳ||ἀθηναῖοι|ἀθηναῖοι||ἀθηναίους||ἀθηναίων||ἀθηναίοις

 ὁ γεωργός|le paysan|ὁ|γεωργός|γεωργέ|τὸν|γεωργόν|τοῦ|γεωργοῦ|τῷ|γεωργῷ|οἱ|γεωργοί|γεωργοί|τοὺς|γεωργούς|τῶν|γεωργῶν|τοῖς|γεωργοῖς

 τὸ δῶρον|le cadeau|τὸ|δῶρ<span class="désinence">-ον</span>|δῶρ<span class="désinence">-ον</span>|τὸ|δῶρ<span class="désinence">-ον</span>|τοῦ|δώρ<span class="désinence">-ου</span>|τῷ|δώρ<span class="désinence">-ῳ</span>|τὰ|δῶρ<span class="désinence">-ᾰ</span>|δῶρ<span class="désinence">-ᾰ</span>|τὰ|δῶρ<span class="désinence">-ᾰ</span>|τῶν|δώρ<span class="désinence">-ων</span>|τοῖς|δώρ<span class="désinence">-οις</span>

 τὸ γυμνάσιον|le gymnase|τὸ|γυμνάσιον|γυμνάσιον|τὸ|γυμνάσιον|τοῦ|γυμνασίου|τῷ|γυμνασίῳ|τὰ|γυμνάσιᾰ|γυμνάσιᾰ|τὰ|γυμνάσιᾰ|τῶν|γυμνασίων|τοῖς|γυμνασίοις

 τὸ ζυγόν|le joug|τὸ|ζυγόν|ζυγόν|τὸ|ζυγόν|τοῦ|ζυγοῦ|τῷ|ζυγῷ|τὰ|ζυγά|ζυγά|τὰ|ζυγά|τῶν|ζυγῶν|τοῖς|ζυγοῖς
